P_ID,TIMESTAMP,NDVI,EVI,IRECI
40271215,2018-06-20,0.8852814,0.60711765,1.5986102
40271215,2018-06-30,0.43108502,0.60718715,0.40714407
40271215,2018-07-05,0.8833682,0.6453215,1.5155431
40271215,2018-07-10,0.83962923,0.6983424,1.5803941
40271215,2018-07-20,0.8340528,0.674031,1.3987942
40271215,2018-07-25,0.8879581,0.62044996,1.3123165
40271215,2018-07-30,0.85011715,0.5074287,1.2226695
40271215,2018-08-04,0.58789474,0.5024741,0.5321508
40271215,2018-08-09,0.84726024,0.49430567,1.1798673
40271215,2018-08-19,0.832981,0.48174116,1.0963017
40271215,2018-08-29,0.7921636,0.47692314,0.91069436
40271215,2018-09-28,0.9038004,0.35756236,0.81624216
40271215,2018-10-03,0.79005957,0.4537566,0.62081933
40271215,2018-10-13,0.6257939,0.26710874,0.22973447
40271215,2018-10-23,0.5872856,0.23412043,0.16792414
40271215,2018-11-17,0.48114437,0.16539268,0.12866262
40271215,2019-02-15,0.34517044,0.1170182,0.08109474
40271215,2019-03-02,0.4103,0.15906799,0.09591654
40271215,2019-03-22,0.41839767,0.15957446,0.0873296
40271215,2019-04-01,0.47870526,0.1801128,0.1234084
40271215,2019-04-16,0.50258577,0.23635799,0.14980645
40271215,2019-04-21,0.6633664,0.29851064,0.22880398
40271215,2019-05-01,0.8077814,0.6489061,0.68055266
40271215,2019-06-10,0.7120035,0.64454347,0.9055114
40271215,2019-06-20,0.84597325,0.67667055,1.4781308
40271215,2019-06-25,0.78085023,0.74132115,1.3040679
40271215,2019-06-30,0.898057,0.6560127,1.5960892
40271215,2019-07-05,0.8701299,0.6993737,1.4437878
40271215,2019-07-10,0.8446644,0.77816534,1.3414345
40271215,2019-07-20,0.8262186,0.5583975,1.2417984
40271215,2019-07-25,0.86029845,0.614237,1.3521286
40271215,2019-07-30,0.8368031,0.7196065,1.3424318
40271215,2019-08-04,0.8373984,0.5645977,1.0983832
40271215,2019-08-09,0.8733624,0.6135439,1.1944258
40271215,2019-08-14,0.8799172,0.54253006,1.2272646
40271215,2019-08-19,0.827229,0.6524424,1.0737519
40271215,2019-09-13,0.8811777,0.37213024,1.00448
40271215,2019-10-08,0.7818361,0.33086854,0.48601726
40271215,2019-10-23,0.53202283,0.19426695,0.14749852
40271215,2019-12-07,0.5291546,0.16534574,0.08645579
40271215,2020-01-06,0.62008375,0.16666667,0.078352235
40271215,2020-01-11,0.5477387,0.1718391,0.050856378
40271215,2020-01-16,0.41148776,0.16847868,0.0771621
40271215,2020-02-05,0.5564005,0.18098614,0.0979986
40271215,2020-03-16,0.5416924,0.18708932,0.108622305
40271215,2020-04-05,0.5381566,0.21406607,0.121774435
40271215,2020-04-10,0.5342612,0.21540189,0.14808328
40271215,2020-04-15,0.586098,0.291449,0.2011154
40271215,2020-04-25,0.8011049,0.5230086,0.56687975
40271215,2020-06-29,0.8182816,0.6172865,1.1996139
